Item Id,Price
1,Base_Price
2,Price3
3,Price1
4,Base_Price
5,Price2
6,Base_Price
7,Base_Price
8,Price4
9,Base_Price
10,Price1
11,Base_Price
12,Base_Price
13,Price1
14,Price2
15,Base_Price
16,Base_Price
17,Base_Price
18,Base_Price
19,Price2
20,Price4
21,Base_Price
22,Base_Price
23,Base_Price
24,Base_Price
25,Price2
26,Base_Price
27,Price1
28,Base_Price
29,Base_Price
30,Price3
31,Price2
32,Price2
33,Base_Price
34,Price1
35,Base_Price
36,Price2
37,Base_Price
38,Price2
39,Base_Price
40,Base_Price
41,Base_Price
42,Base_Price
43,Base_Price
44,Price3
45,Base_Price
46,Base_Price
47,Base_Price
48,Price1
49,Base_Price
50,Base_Price
51,Base_Price
52,Base_Price
53,Base_Price
54,Base_Price
55,Price3
56,Base_Price
57,Base_Price
58,Price2
59,Base_Price
60,Price1
61,Base_Price
62,Price1
63,Base_Price
64,Price2
65,Price1
66,Price2
67,Base_Price
68,Base_Price
69,Base_Price
70,Base_Price
71,Base_Price
72,Base_Price
73,Base_Price
74,Base_Price
75,Price2
76,Base_Price
77,Price2
78,Base_Price
79,Base_Price
80,Base_Price
81,Price2
82,Base_Price
83,Base_Price
84,Base_Price
85,Base_Price
86,Base_Price
87,Base_Price
88,Base_Price
89,Base_Price
90,Base_Price
91,Base_Price
92,Price1
93,Base_Price
94,Base_Price
95,Price2
96,Base_Price
97,Price2
98,Price2
99,Base_Price
100,Price2
101,Base_Price
102,Base_Price
103,Base_Price
104,Base_Price
105,Price4
106,Base_Price
107,Base_Price
108,Price2
109,Base_Price
110,Price2
111,Base_Price
112,Base_Price
113,Base_Price
114,Base_Price
115,Base_Price
116,Base_Price
117,Price3
118,Base_Price
119,Base_Price
120,Base_Price
121,Price2
122,Price3
123,Base_Price
124,Price2
125,Base_Price
126,Base_Price
127,Base_Price
128,Base_Price
129,Base_Price
130,Base_Price
131,Base_Price
132,Base_Price
133,Base_Price
134,Base_Price
135,Base_Price
136,Base_Price
137,Price2
138,Base_Price
139,Base_Price
140,Price2
141,Base_Price
142,Base_Price
143,Base_Price
144,Base_Price
145,Price4
146,Base_Price
147,Base_Price
148,Base_Price
149,Price1
150,Base_Price
151,Price1
152,Price1
153,Base_Price
154,Price2
155,Base_Price
156,Base_Price
157,Price1
158,Base_Price
159,Base_Price
160,Base_Price
161,Price2
162,Base_Price
163,Price1
164,Base_Price
165,Base_Price
166,Price2
167,Base_Price
168,Base_Price
169,Price2
170,Base_Price
171,Base_Price
172,Base_Price
173,Price3
174,Base_Price
175,Base_Price
176,Price2
177,Base_Price
178,Base_Price
179,Base_Price
180,Price1
181,Price2
182,Base_Price
183,Base_Price
184,Base_Price
185,Base_Price
186,Base_Price
187,Base_Price
188,Price2
189,Price2
190,Price2
191,Price4
192,Base_Price
193,Base_Price
194,Base_Price
195,Base_Price
196,Price4
197,Base_Price
198,Base_Price
199,Base_Price
200,Price2
201,Price2
202,Base_Price
203,Base_Price
204,Price2
205,Base_Price
206,Base_Price
207,Base_Price
208,Base_Price
209,Base_Price
210,Price2
211,Price1
212,Price4
213,Base_Price
214,Base_Price
215,Base_Price
216,Base_Price
217,Base_Price
218,Price2
219,Base_Price
220,Base_Price
221,Base_Price
222,Base_Price
223,Price1
224,Price2
225,Base_Price
226,Price2
227,Base_Price
228,Base_Price
229,Base_Price
230,Price2
231,Base_Price
232,Base_Price
233,Base_Price
234,Price3
235,Base_Price
236,Price2
237,Price2
238,Base_Price
239,Base_Price
240,Base_Price
241,Base_Price
242,Price1
243,Base_Price
244,Base_Price
245,Base_Price
246,Base_Price
247,Price2
248,Base_Price
249,Base_Price
250,Price2
251,Price1
252,Base_Price
253,Price3
254,Price3
255,Base_Price
256,Base_Price
257,Price2
258,Price1
259,Base_Price
260,Price1
261,Base_Price
262,Base_Price
263,Base_Price
264,Base_Price
265,Price2
266,Base_Price
267,Price3
268,Base_Price
269,Base_Price
270,Base_Price
271,Base_Price
272,Price2
273,Price2
274,Base_Price
275,Price3
276,Base_Price
277,Base_Price
278,Base_Price
279,Base_Price
280,Price2
281,Base_Price
282,Price2
283,Base_Price
284,Base_Price
285,Price3
286,Base_Price
287,Base_Price
288,Price2
289,Base_Price
290,Base_Price
291,Base_Price
292,Base_Price
293,Base_Price
294,Price2
295,Base_Price
296,Base_Price
297,Price2
298,Base_Price
299,Base_Price
300,Price2
